famd-2,famd-3,famd-4,famd-5
12.08555725,3.366785619,-3.812143469,-4.290612169
21.83836935,8.747048225,-4.064771781,-4.201974343
8.483115535,23.27589931,-4.303076662,-4.39558775
15.63808448,38.81824808,-3.566627087,-4.362597451
51.9441244,1.801119931,-4.122481279,-4.314838341
8.018401481,40.33889939,-4.236201622,-4.362597451
26.48996251,29.12287976,-4.29955954,-3.042086041
23.87695167,8.483115535,-3.317649839,-4.097493509
8.121411927,15.7073777,-4.223959751,-4.3856208
6.898472886,13.80535119,-4.188790586,-4.248279645